id,name,country,population,latitude,longitude
1,Tokyo,JP,37400068,35.6762,139.6503
2,Delhi,IN,32941000,28.7041,77.1025
3,Shanghai,CN,29210000,31.2304,121.4737
4,Sao Paulo,BR,22620000,-23.5505,-46.6333
5,Mexico City,MX,21805000,19.4326,-99.1332
6,Cairo,EG,21323000,30.0444,31.2357
7,Mumbai,IN,20961000,19.0760,72.8777
8,Beijing,CN,20463000,39.9042,116.4074
9,Dhaka,BD,17598000,23.8103,90.4125
10,Osaka,JP,19165000,34.6937,135.5023
11,Lagos,NG,15388000,6.5244,3.3792
12,Paris,FR,11017000,48.8566,2.3522
