name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
HD 219134 b,HD 219134,2015,Radial Velocity,6.53,3.0929,1.6,4.74,1015
HD 219134 c,HD 219134,2015,Radial Velocity,6.53,6.7646,1.51,4.36,782
HD 219134 d,HD 219134,2015,Radial Velocity,6.53,46.859,1.61,16.17,411
HD 219134 f,HD 219134,2015,Radial Velocity,6.53,22.717,1.31,7.3,523
LTT 1445 A c,LTT 1445 A,2022,Transit,6.87,3.1239,1.15,1.54,508
LTT 1445 A b,LTT 1445 A,2019,Transit,6.87,5.3588,1.34,2.73,431
GJ 486 b,GJ 486,2021,Radial Velocity,8.07,1.4671,1.29,2.77,696
GJ 367 b,GJ 367,2021,Transit,9.41,0.3219,0.7,0.63,1365
GJ 357 b,GJ 357,2019,Transit,9.44,3.9306,1.2,,518
AU Mic b,AU Mic,2020,Transit,9.72,8.4634,4.79,8.99,555
AU Mic c,AU Mic,2021,Transit,9.72,18.859,2.79,14.46,425
HD 260655 b,HD 260655,2022,Transit,10.01,2.7695,1.24,2.14,709
HD 260655 c,HD 260655,2022,Transit,10.01,5.7059,1.53,3.09,557
L 98-59 d,L 98-59,2019,Transit,10.62,7.4507,1.63,1.64,416
L 98-59 b,L 98-59,2019,Transit,10.62,2.2531,0.84,0.46,620
L 98-59 c,L 98-59,2019,Transit,10.62,3.6907,1.33,2.0,526
COCONUTS-2 b,COCONUTS-2 A,2021,Imaging,10.89,,12.58,2383.71,493
GJ 414 A b,GJ 414 A,2021,Radial Velocity,11.89,50.8,2.63,7.6,309
GJ 414 A c,GJ 414 A,2021,Radial Velocity,11.89,749.83,8.4,53.83,125
GJ 806 b,GJ 806,2023,Transit,12.04,0.9263,1.33,1.9,940
LHS 475 b,LHS 475,2023,Transit,12.48,2.0291,0.99,,586
GJ 1132 b,GJ 1132,2015,Transit,12.61,1.6289,1.19,1.84,584
HD 101581 c,HIP 56998,2025,Transit,12.78,6.204,0.99,,747
HD 101581 b,HIP 56998,2025,Transit,12.78,4.4657,0.96,,834
TOI-540 b,TOI-540,2020,Transit,14.0,1.2391,0.9,,611
GJ 1214 b,GJ 1214,2009,Transit,14.64,1.5804,2.73,8.41,567
HD 136352 b,HD 136352,2019,Radial Velocity,14.68,11.578,1.66,4.72,905
HD 136352 c,HD 136352,2019,Radial Velocity,14.68,27.5922,2.92,11.24,677
HD 136352 d,HD 136352,2019,Radial Velocity,14.68,107.245,2.56,8.82,431
LHS 3844 b,LHS 3844,2019,Transit,14.88,0.4629,1.29,2.37,816
LHS 1140 c,LHS 1140,2018,Transit,14.99,3.7779,1.27,1.91,422
LHS 1140 b,LHS 1140,2017,Transit,14.99,24.7372,1.73,5.6,226
GJ 238 b,GJ 238,2024,Transit,15.21,1.7447,0.57,,758
GJ 3929 b,GJ 3929,2022,Transit,15.81,2.6162,1.09,1.75,568
GJ 143 b,GJ 143,2019,Transit,16.32,35.6125,2.61,22.7,422
HD 21749 c,GJ 143,2019,Transit,16.32,7.7899,0.89,3.7,701
TOI-4527.01,TOI-4527,2024,Transit,18.1,0.3994,0.91,,1363
LHS 1478 b,LHS 1478,2021,Transit,18.23,1.9495,1.24,2.33,595
TOI-5388.01,TOI-5388,2024,Transit,18.52,2.5947,0.99,2.2,488
TOI-6716 b,TOI-6716,2026,Transit,18.89,4.7186,0.98,,369
TOI-2194 b,TOI-2194,2023,Transit,19.57,15.3376,1.99,,591
TOI-260 b,TOI-260,2024,Transit,20.19,13.4759,1.71,4.23,493
TOI-5789 c,TOI-5789,,Transit,20.46,12.9277,2.86,5.0,718
TOI-6324 b,TOI-6324,2025,Transit,20.55,0.2792,1.06,1.17,1216
HD 97658 b,HD 97658,2010,Radial Velocity,21.56,9.4897,2.12,8.3,751
K2-415 b,K2-415,2023,Transit,21.82,4.018,1.01,7.5,412
LTT 3780 b,LTT 3780,2020,Transit,21.98,0.7684,1.33,2.46,903
LTT 3780 c,LTT 3780,2020,Transit,21.98,12.2523,2.39,8.04,359
TOI-244 b,TOI-244,2023,Transit,22.03,7.3972,1.52,2.68,458
HD 63433 b,HD 63433,2020,Transit,22.4,7.1079,2.14,21.76,967
HD 63433 c,HD 63433,2020,Transit,22.4,20.5438,2.69,15.54,679
HD 63433 d,HD 63433,2023,Transit,22.4,4.2091,1.07,,1040
TOI-1450 A b,TOI-1450 A,2024,Transit,22.45,2.0439,1.13,1.26,722
GJ 3090 b,GJ 3090,2022,Transit,22.48,2.8531,2.18,4.52,723
TOI-270 b,TOI-270,2019,Transit,22.48,3.3599,1.28,1.48,600
TOI-270 c,TOI-270,2019,Transit,22.48,5.6605,2.33,6.2,489
TOI-270 d,TOI-270,2019,Transit,22.48,11.3819,2.0,4.2,383
TOI-4336 A b,TOI-4336 A,2024,Transit,22.55,16.3364,2.14,3.33,309
TOI-4336 A c,TOI-4336 A,2026,Transit,22.55,7.5873,1.25,1.55,400
TOI-2134 c,TOI-2134,2023,Transit,22.62,95.5,7.27,41.89,306
TOI-2134 b,TOI-2134,2023,Transit,22.62,9.2292,2.69,9.13,666
TOI-6008 b,TOI-6008,2024,Transit,23.1,0.8574,1.03,4.0,707
HD 207496 b,HD 207496,2023,Transit,23.61,6.441,2.25,6.1,743
TOI-198 b,TOI-198,2023,Transit,23.73,10.2152,1.36,3.17,456
TOI-2443 b,TOI-2443,2023,Transit,23.93,15.6686,2.36,4.8,519
WD 1856+534 b,WD 1856+534,2020,Transit,24.74,1.4079,10.4,4386.05,163
TOI-1468 c,TOI-1468,2022,Transit,24.74,15.5325,2.13,4.1,338
